Title ,"[[""Links"",""""]]"
The Habal-Habal: Addressing Mobility Needs With 2-Wheel Motorcycle Taxis in the Philippines,"[[""Motociclistas estão envolvidos em mais da metade dos acidentes de trânsito no RJ,"",""https://www.cnnbrasil.com.br/nacional/motociclistas-estao-envolvidos-em-mais-da-metade-dos-acidentes-de-transito-no-rj/""],[""Proceedings of the Eastern Asia Society for Transportation Studies, Vol.12,2019"",""https://doi.org/10.3390/su13116474""],[""Governance of the Risks of Ridesharing in Southeast Asia: An In-Depth Analysis"",""https://www.mdpi.com/2071-1050/13/11/6474""],[""Habal-Habal: The Philippine Motorcycle That Gives 10 People a Ride"",""https://web.archive.org/web/20250319184420/https://globalvoices.org/2014/04/06/habal-habal-philippine-motorcycle-that-can-carry-10-passengers/""],[""Habal-Habal Driver Dies in Barili Collision"",""https://ph.news.yahoo.com/habal-habal-driver-dies-barili-124300048.html""],[""Passenger in Critical Condition"",""https://ph.news.yahoo.com/habal-habal-driver-dies-barili-124300048.html""],[""Mobility Justice: The Politics of Movement in an Age of Extremes"",""https://www.tandfonline.com/doi/full/10.1080/2325548X.2020.1760059""],[""Stoppage and the Racialized Rhetorics of Mobility"",""https://doi.org/10.1080/10570314.2019.1676914""]]"
Bus 581: A Small Town’s Lifeline,"[[""Bus lines missing in Urca will return to service this Saturday"",""https://oglobo.globo.com/rio/linhas-de-onibus-desaparecidas-na-urca-voltarao-circular-neste-sabado-23048964""]]"
Wi-Fi on Wheels: Wi-Fi Equipped Buses ,"[[""Adoption of Asynchronous Learning Tools by Traditional Full-Time Students: A Pilot Study"",""https://doi.org/10.1023/A:1011446516889""],[""S.C. to Send Wi-Fi Enabled School Buses Around State for Online Learning"",""https://www.edweek.org/education/s-c-to-send-wi-fi-enabled-school-buses-around-state-for-online-learning/2020/03""],[""Wi-Fi-Enabled Buses Deployed to Help Charleston County Students Get Internet Access"",""https://www.live5news.com/2020/03/19/wifi-enabled-buses-deployed-help-charleston-county-students-get-internet-access/""],[""Wi-Fi-Enabled School Buses Leave No Child Offline"",""https://www.pbs.org/newshour/show/wi-fi-enabled-school-buses-leave-no-child-offline""],[""Frontenac News – The History of Meals On Wheels,"",""https://web.archive.org/web/20211102133116/https://www.frontenacnews.ca/addington-news/item/8780-the-history-of-meals-on-wheels""],[""NYC Will Try Using School Buses to Provide Wi-Fi to Students"",""https://nypost.com/2020/11/07/nyc-will-try-using-school-buses-to-provide-wi-fi-to-students/""],[""Where Good Ideas Come from: The Natural History of Innovation"",""https://archive.org/details/wheregoodideasco00stev""]]"
Canal*MOTOBOY (Motoboy*Channel) Project: Mobilizing Motoboys to Aid Navigation in São Paulo,"[[""One motorcyclist dies about every day in the capital of São Paulo as a result of a traffic accident"",""https://www.jornalavozdomotoboy.com.br/noticia/507/um-motociclista-morre-por-dia-na-capital-paulista-vitima-de-acidente-de-transito""],[""Why do people hate motorcycle couriers?"",""https://disparada.com.br/por-que-odeiam-os-motoboys/""],[""How Much Does a Motorcycle Courier Earn in São Paulo"",""https://web.archive.org/web/20240911094929/https://www.salario.com.br/profissao/motoboy/sao-paulo-sp/""]]"
Pedala Queimados (Ride Queimados): How a Bicycle Sharing Project Revolutionized a Small Town in Brazil,"[[""One Year to Go to the Olympics Roundup: Evictions, Gentrification, Public Security & Environment,"",""https://rioonwatch.org/?p=23509""],[""Atlas da Violência: Retratos dos municípios Brasileiros"",""https://www.ipea.gov.br/atlasviolencia/arquivos/downloads/7047-190802atlasdaviolencia2019municipios.pdf""],[""Support the Pedala Queimados Campaign"",""https://www.mobilize.org.br/noticias/12791/apoie-a-campanha-do-pedala-queimados.html""],[""Pedala Queimados: Biking to ‘Change the Zip Code of Opportunity’ [PROFILE]"",""https://rioonwatch.org/?p=54236""],[""Porto Alegre, RS, Brazil"",""https://www.artbikebamboo.com.br/""]]"
WikiMapa: Putting Complexo de Alemão (German Complex) on the Map,"[[""Making the COVID-19 Pandemic Visible: The Power of Grassroots Mapping Initiatives"",""https://ijoc.org/index.php/ijoc/article/view/18441""],[""Prefeitura Do Rio Mantém Favelas Fora de Mapas Oficiais Dados a Turistas [Rio Municipal Goverment Keeps Favelas out of Official Touristic City Maps]."",""https://www1.folha.uol.com.br/paywall/login.shtml?""],[""Wikimapa"",""https://www.globalgiving.org/projects/wikimapa/photos/#menu""],[""Mapping my area: Telefônica Foundation and Rede Jovem launch Wikimapa in Rio de Janeiro"",""https://www.fundacaotelefonicavivo.org.br/noticias/mapeando-minha-area-fundacao-telefonica-e-rede-jovem-lancam-o-wikimapa-no-rio-de-janeiro/""],[""Em Comunidades Do Rio, Salto No Número de Infecções Por Covid-19 Ultrapassa o Dobro Da Média Da Cidade"",""https://oglobo.globo.com/rio/em-comunidades-do-rio-salto-no-numero-de-infeccoes-por-covid-19-ultrapassa-dobro-da-media-da-cidade-24955011""],[""The Logic of Connective Action"",""https://doi.org/10.1080/1369118X.2012.670661""],[""Collective Intelligence: Mankind’s Emerging World in Cyberspace"",""https://archive.org/details/collectiveintell0000levy""],[""Wikipedia Editing as Connective Intelligence: Analyzing the Vandal Fighter Role in the 2022 Russian Invasion of Ukraine"",""https://dl.acm.org/doi/10.1145/3513130.3558978""],[""Documentary raises key symbolic and practical questions about marginalized regions that are not on the city’s official map"",""https://todomapatemumdiscurso.wordpress.com/sobre/""]]"
Guia Rocinha Histórica (Historic Rocinha Guide): Making community Visible Through Residents’ Narrated Stories,"[[""Start Page"",""https://museusankofarocinha.com.br/""],[""Rocinha"",""https://wikifavelas.com.br/index.php/Rocinha""],[""2022 Census: Rocinha has the highest concentration of residents per km² in Brazil"",""https://www.terra.com.br/visao-do-corre/censo-2022-rocinha-tem-maior-concentracao-de-moradores-por-km-no-brasil,8d8ebbb1fcbc39a2bfec797bd567a5b5sfl06o85.htmltdsaz""],[""Favela Tour Virtual: Sobre Mobilidades Turísticas em Favelas no Contexto da Pandemia de Covid-19"",""https://doi.org/10.4000/cadernosaa.4284""],[""Favela Virtual Tour Alternative Mobilities in Favela Tourism during the COVID-19 Pandemic"",""https://www.taylorfrancis.com/books/edit/10.4324/9781003224518/alternative-im-mobilities-maria-alice-nogueira""],[""Promoting reflection and sharing within and across international communities"",""https://www.bournemouth.ac.uk/research/projects/promoting-reflection-sharing-within-across-international-communities""],[""Favela tourism in Rio de Janeiro"",""https://www.theguardian.com/travel/2013/nov/04/rio-de-janeiro-brazil-favela-tourism""],[""Favelas Virtual Tour – Rio de Janeiro, Brazil,"",""https://uploads.knightlab.com/storymapjs/c0f23ff4a94db1d7ee4c05a7a8a218df/favela-virtual-tour-2-0/index.html""]]"
Mobile Cinema: Bringing Films to Remote Communities With a Truck  ,"[[""the Mobile Cinema"",""https://socfilms.com/wp-content/uploads/2021/09/Mobile-cinema-opt-2.png""],[""SOC Films."",""https://socfilms.com/""],[""SOC Films About us Page."",""https://socfilms.com/about-us/""],[""How film transforms the way we see the world"",""https://www.ted.com/talks/sharmeen_obaid_chinoy_how_film_transforms_the_way_we_see_the_world?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare""],[""This mobile cinema is helping women in Pakistan learn their rights"",""https://www.fastcompany.com/90337127/this-mobile-cinema-is-helping-women-in-pakistan-learn-their-rights""],[""Sharmeen Oaid’s New Mobile Cinema Project Takes Films Where People Need Them Most"",""https://images.dawn.com/news/1177029""],[""Mobile Media Art: An Introduction"",""https://www.taylorfrancis.com/chapters/edit/10.4324/9780429242816-1/mobile-media-art-klare-lanson-adriana-de-souza-silva-larissa-hjorth""],[""Mobility Justice: The Politics of Movement in an Age of Extremes"",""https://www.versobooks.com/products/753-mobility-justice?srsltid=AfmBOopYSHvKjxdVL6r8QU0ATsPv-cCVn-2uJU2A8nQsz7NOh_cmNdvV""]]"
Truck Art Child Finder: How Pakistan’s Mobile Art Form Helped Bring Missing Children Home,"[[""These eye-popping, hand-painted trucks rule Pakistan’s roads"",""https://www.npr.org/2022/02/05/1076102464/pakistan-truck-art-painting""],[""‘Pakistan Modern’: celebrating modern truck art and traditional embroidery"",""https://artsandculture.google.com/story/8wUxTZZ1BqAMJg""],[""Did Dolce & Gabbana just launch kitchenware inspired by Pakistani truck art?"",""https://www.geo.tv/latest/137232-did-dolce-gabbana-just-launch-kitchenware-inspired-by-pakistani-truck-art?ref=artshelp.com""],[""In Pakistan, truck art helps bring missing children home,"",""https://www.arabnews.com/node/1910656/world""]]"
Nuvem (Cloud): Networking the Unconnected ,"[[""Creative Appropriations in Hybrid Spaces: Mobile Interfaces in Art and Games in Brazil"",""https://ijoc.org/index.php/ijoc/article/view/6141""],[""Cloud,"",""https://web.archive.org/web/20240918151609/https://www.nuvem.tk/""],[""Comparing Two Community Network Experiences in Brazil"",""https://direitorio.fgv.br/conhecimento/community-networks-internet-people-people""]]"
